Carrier,Route ID,Cluster,Stops,Stop Sequence,Detailed Route,Total Route Mileage,Has Restrictions?,Trailer Size,Temp Zones,Total Pallets,Truck Utilization,Total Travel (min),Total Stop Time (min),Total Duration (min),HOS Status,Estimated Cost,Mileage Status,Notes,Map Link
CIR,CIR_1,Others,3,"8002 (AMB:9.79, PRO:2.50) / 8006 (AMB:1.39, PRO:3.00) / 8021 (PRO:2.00, CHI:5.74)",8002 (6.2 mi) -> 8006 (12.2 mi) -> 8021,403,No,53',Dual Temp,24.42,93.90%,458.00,90.00,578,OK,N/A,OK, [Front: 5 ambient stops | Rear: 1 cold stops],N/A
CIR,CIR_2,Others,2,"1561 (AMB:4.28, CHI:9.39) / 1590 (CHI:3.00)",1561 (6.6 mi) -> 1590,348,Yes,36',Dual Temp,16.67,92.60%,414.00,45.00,459,OK,N/A,OK, [Front: 1 ambient stops | Rear: 2 cold stops],N/A
CIR,CIR_3,Others,3,"1572 (PRO:4.00, CHI:9.35) / 8004 (CHI:4.89) / 1581 (CHI:2.89)",1572 (17.5 mi) -> 8004 (37.6 mi) -> 1581,395,Yes,48',Dual Temp,21.13,96.00%,451.00,60.00,541,OK,32.33,OK, [Front: 1 ambient stops | Rear: 3 cold stops],N/A
CIR,CIR_4,Others,3,"1203 (AMB:0.78, PRO:4.00, CHI:9.11) / 1431 (CHI:3.37) / 1463 (CHI:3.00)",1203 (25.4 mi) -> 1431 (39.7 mi) -> 1463,217,No,53',Dual Temp,20.26,77.90%,298.00,75.00,373,OK,N/A,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
SCH,SCH_5,Others,3,"1564 (PRO:1.00) / 1576 (PRO:3.00, CHI:9.09) / 1559 (CHI:5.74)",1564 (24.9 mi) -> 1576 (13.2 mi) -> 1559,385,Yes,48',Dual Temp,18.83,85.60%,450.00,60.00,540,OK,324.83,OK, [Front: 2 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_6,Others,2,"1503 (AMB:4.00, PRO:3.50, CHI:8.85) / 8007 (CHI:7.74)",1503 (4.7 mi) -> 8007,421,No,53',Dual Temp,24.09,92.70%,470.00,60.00,560,OK,310.5,OK, [Front: 2 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_7,Others,3,"1579 (AMB:8.56, PRO:0.50) / 1580 (PRO:1.00, CHI:5.11) / 1567 (CHI:3.00)",1579 (0 mi) -> 1580 (16.3 mi) -> 1567,361,Yes,48',Dual Temp,18.17,82.60%,413.00,75.00,518,OK,280.5,OK, [Front: 3 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_8,Others,3,"1561 (PRO:4.50) / 1590 (AMB:7.78, PRO:2.00) / 1559 (PRO:3.00)",1561 (6.6 mi) -> 1590 (7.6 mi) -> 1559,349,Yes,36',Single Temp,17.28,96.00%,420,60,480,OK,274.5,OK, [Single Temp (Ambient): 4 stops],N/A
SCH,SCH_9,Others,3,"8017 (PRO:4.00, CHI:7.63) / 8002 (CHI:5.00) / 8006 (CHI:5.74)",8017 (11.2 mi) -> 8002 (6.2 mi) -> 8006,418,No,53',Dual Temp,22.37,86.00%,472,60,562,OK,309,OK, [Front: 1 ambient stops | Rear: 3 cold stops],N/A
SCH,SCH_10,Others,3,"1433 (AMB:3.17, PRO:3.39, CHI:5.74) / 1119 (AMB:7.39, PRO:2.39) / 1564 (CHI:3.37)",1433 (7.3 mi) -> 1119 (43.1 mi) -> 1564,366,No,53',Dual Temp,25.45,97.90%,444,90,564,OK,423.72,OK, [COLD CHAIN WARNING] [Front: 4 ambient stops | Rear: 2 cold stops],N/A
