Fully picked,Circle Logistics,CIR_1ST_DT.07,1,1530,1559,Sun 20:00,Late,9:03,1559 (ALL),14.04,"10,20,40,50,70,80",,,,,,354.6,52.00%,1559,00 No Violations
C,,NFI_1ST_DT.10,1,1260,UNUSED,Sun 20:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,NFI_1ST_DT.11,1,1270,UNUSED,Sun 20:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,NFI_1ST_DT.12,1,1280,UNUSED,Sun 20:00,Late,0:00,UNUSED,0,,GRAB MISDELIVERED 1442 PRO FROM 1566,,,,,0,0.00%,,00 No Violations
C,,NFI_1ST_DT.13,1,1290,UNUSED,Sun 20:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,NFI_1ST_DT.14,1,1300,UNUSED,Sun 20:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,NFI_1ST_LG.03,1,1650,UNUSED,Sun 20:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
Partially communicated,Schneider National Carriers,SCH_1ST_36,1,1620,1590-1579,Sun 20:00,Late,9:50,1590 (ALL) / 1579 (CHL),9.39,"20,40,50,70,80",,,,,,380,49.40%,1579,00 No Violations
Partially communicated,Schneider National Carriers,SCH_1ST_DT.11,1,1130,1342-1566-1442-1023,Sun 20:00,Late,10:45,1342 (ALL) / 1566 (PRO) / 1442 (PRO) / 1023 (CHL),18.54,"10,20,40,50,70,80",,,,,,365.1,68.70%,1023,00 No Violations
Fully picked,"C. R. England, Inc.",CRE_1ST_DT.13,1,940,1499,Sun 21:00,Late,11:19,1499 (ALL),17.93,"10,20,40,50,70,80",,,,,,475.3,66.40%,1499,00 No Violations
Fully picked,"NFI Interactive Logistics, LLC",NFI_1ST_DT.16,1,1320,8015-1564,Sun 21:00,Late,9:17,"8015 (AMB,FRZ) / 1564 (FRZ)",14.17,"10,20,60,80",,,,,,345.8,52.50%,1564,00 No Violations
C,,NFI_1ST_DT.17,1,1330,UNUSED,Sun 21:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
Fully picked,"NFI Interactive Logistics, LLC",NFI_1ST_DT.19,1,1350,UNUSED,Sun 21:00,Late,0:33,UNUSED,0,94,,,,,,0,0.00%,Standby(Overspill),00 No Violations
Fully picked,"NFI Interactive Logistics, LLC",NFI_1ST_DT.20,1,1400,UNUSED,Sun 21:00,Late,0:33,UNUSED,0,94,,,,,,0,0.00%,Standby(Overspill),00 No Violations
Fully picked,"NFI Interactive Logistics, LLC",NFI_1ST_DT.21,1,1410,UNUSED,Sun 21:00,Late,0:33,UNUSED,0,94,,,,,,0,0.00%,Standby(Overspill),00 No Violations
Partially communicated,Schneider National Carriers,SCH_1ST_DT.08,1,1150,1463-1094,Sun 21:00,Late,7:16,1463 (ALL) / 1094 (CHL),21.54,"10,20,40,50,70,80",,,,,,198.8,79.80%,1094,00 No Violations
Fully picked,Schneider National Carriers,SCH_1ST_DT.10,1,1120,1484-1352-1566-1081,Sun 21:00,Late,9:10,"1484 (AMB,PRO) / 1352 (AMB) / 1566 (ALL) / 1081 (CHL)",25.1,"10,20,40,50,70,80",,,,,,262.5,93.00%,1081,00 No Violations
Partially communicated,Schneider National Carriers,SCH_1ST_DT.12,1,1140,1035-1545,Sun 21:00,Late,9:01,1035 (ALL) / 1545 (ALL),21.34,"10,20,40,50,70,80",,,,,,290.4,79.00%,1545,00 No Violations
C,,CRE_1ST_DT.15,1,960,UNUSED,Sun 22:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,NFI_1ST_DT.05,1,1550,UNUSED,Sun 22:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
Partially communicated,Circle Logistics,CIR_1ST_DT.06,1,1020,8007-8021-1561,Sun 23:00,Late,12:12,"8007 (ALL) / 8021 (CHL) / 1561 (AMB,CHL,FRZ,PRO)",24.28,"10,20,40,50,60,70,80",,,,,,415.9,89.90%,1561,00 No Violations
